Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.1016,50.1447,2.1238,48.8887
2,1.9590,51.1665,1.9607,49.7067
3,1.7996,52.0164,2.0224,51.0287
4,1.6375,53.4169,1.6860,52.2153
5,1.8443,55.3325,1.8677,51.4887
6,1.3784,56.8607,1.3856,55.5172
7,1.2704,58.7669,1.6191,57.9495
8,1.1749,59.0176,1.1756,60.0073
9,1.0907,62.8641,1.1142,61.9649
10,1.2598,63.6853,1.2706,64.8838
11,1.2502,67.2622,1.2541,67.0319
12,0.8168,70.1548,0.8487,69.5661
13,0.7838,72.7034,0.8163,71.7736
14,0.7430,73.3833,0.7542,74.3126
15,0.6811,77.5036,0.8670,76.7766
16,0.6215,79.6854,0.7035,79.1796
17,0.5661,81.9455,0.5719,80.9006
18,0.4984,83.9007,0.5345,82.8140
19,0.4568,84.6098,0.5233,85.1725
20,0.4361,86.8047,0.6928,86.1649
21,0.3901,88.2247,0.4247,87.7962
22,0.4116,89.6355,0.4344,89.1522
23,0.4930,90.6521,0.5752,90.3276
24,0.3304,91.0080,0.5189,90.0843
25,0.3242,92.4740,0.3311,91.8488
26,0.3188,92.9950,0.3204,93.0172
27,0.2506,94.1969,0.2765,92.5339
28,0.2411,94.5218,0.3031,94.0252
29,0.2199,94.6258,0.2342,94.2573
30,0.3839,94.9601,0.3887,94.5536
31,0.2091,95.7351,0.2379,94.0417
32,0.2718,96.0791,0.2883,95.4250
33,0.2264,95.8822,0.4203,95.2542
34,0.3828,96.2991,0.3921,96.1485
35,0.1617,95.4448,0.2088,95.8097
36,0.1469,96.0628,0.3476,96.2567
37,0.2296,96.8839,0.2348,96.4136
38,0.3201,96.6812,0.3295,96.6626
39,0.1462,96.2965,0.1599,96.0673
40,0.1481,96.2828,0.3149,97.0340
41,0.1444,97.1569,0.1782,96.8113
42,0.1377,96.1683,0.1573,97.1576
43,0.1027,96.9430,0.1477,97.2662
44,0.1475,96.6643,0.1485,96.6471
45,0.1384,97.0500,0.1852,97.0298
46,0.1574,97.2920,0.1744,96.7102
47,0.1513,97.1906,0.1751,97.0001
48,0.2180,96.9731,0.2337,96.7231
49,0.1307,97.2313,0.1376,96.0490
50,0.1034,97.2992,0.1491,96.8159
