Time,PLETH,CO2
0.0,0.23414664876925056,-0.3251119067926791
0.01,0.325919377317134,-0.23156101465960807
0.02,0.4355020317305595,-1.0109893937569354
0.03,0.476217495470097,0.43292217918500303
0.04,0.5677462032790046,-0.83263013554683
0.05,0.5894313390940165,-0.3942559455480426
0.06,0.6489799259767832,0.12625311905322698
0.07,0.6584542939578505,1.0764491475122617
0.08,0.6714433889407337,0.2078910275623577
0.09,0.6769381505954084,-0.09948572087809866
0.1,0.6642468672177361,0.2795651396209141
0.11,0.6507684126977055,0.013886049514609967
0.12,0.6234872467388654,0.34172129045533284
0.13,0.6153010255183411,-0.3243896327348288
0.14,0.5726739463536403,0.9650685878464624
0.15,0.5301587542223525,-0.3901589047029259
0.16,0.5051563896555842,0.3704522367299433
0.17,0.479636870219683,0.7975653925177248
0.18,0.46992985926565145,0.7986714864733488
0.19,0.42652081172146455,1.0590973059995705
0.2,0.3871276662595095,0.8268468541253566
0.21,0.3580627539929135,0.6698871227860431
0.22,0.350396504885208,0.6437502874441704
0.23,0.35320675367660914,1.4335816438675748
0.24,0.3289890853476831,1.328139392011346
0.25,0.33770413210533656,0.3262728848828822
0.26,0.3112245570878461,1.6415392566375338
0.27,0.304203255860358,1.1058522623991338
0.28,0.2743630776209984,1.9681025155716452
0.29,0.28317122224080915,1.9947931924878315
0.3,0.2645245415054204,1.7783784874100743
0.31,0.21899330438060685,3.090537014612615
0.32,0.23380582626939062,2.635770771672686
0.33,0.22002867812708973,1.9659125921772862
0.34,0.1771407258955529,3.269778892342364
0.35,0.1678127799063103,3.576158997066822
0.36,0.15364468285761543,3.0823081128664613
0.37,0.09556737614198245,3.3284933653056488
0.38,0.10461237793233381,5.090941280323821
0.39,0.07365170652618253,3.6868744371441764
0.4,0.06114158940885153,3.6266868833837114
0.41,0.06640264482072018,4.42917607997635
0.42,0.018548630284235312,5.4469612016458075
0.43,0.02097545691418201,5.4053006917546975
0.44,-0.005413824862732966,4.940575127671814
0.45,-0.02783229096017229,6.102293888803355
0.46,-0.04547269033313194,6.4962649696550185
0.47,-0.045637556245735435,5.319596337628818
0.48,-0.07319583550808458,7.540259289700498
0.49,-0.09925168048998413,6.306511049243104
0.5,-0.14802896758684891,7.200524319118559
0.51,-0.16244476860201837,7.9556816680861075
0.52,-0.22843501272523536,8.090066653932672
0.53,-0.2669503628807535,7.25745338413413
0.54,-0.3136041747816313,8.315870811252804
0.55,-0.3748163144798217,8.782964845010278
0.56,-0.41942553671101096,8.527303908800308
0.57,-0.47940142233201644,9.25690209430659
0.58,-0.5705139015092343,9.82908826440544
0.59,-0.6313296295687536,9.601448751626686
0.6,-0.703126267174638,9.540770080275797
0.61,-0.7481298440917268,10.421066254700388
0.62,-0.812018171749244,10.927944173564562
0.63,-0.8464046064172065,11.588927057794606
0.64,-0.8848924910598659,11.466448348665661
0.65,-0.8892202080689893,12.596366427056351
0.66,-0.9005095785143196,12.740138076330393
0.67,-0.8930285722202782,13.385966055861738
0.68,-0.8722799360350568,13.396829585122202
0.69,-0.8352940350834192,13.83832553844127
0.7,-0.7842681501072964,13.193163532600176
0.71,-0.7067346746520595,14.839489037609772
0.72,-0.6314853057049572,14.276748693967015
0.73,-0.5246568496659261,15.332872705614372
0.74,-0.43652473962159977,15.880618064181057
0.75,-0.33685450274163664,15.76032052817326
0.76,-0.22558387957430112,16.097111460102486
0.77,-0.11111235037317803,16.530068464817337
0.78,-0.006328119541772589,17.6697658008056
0.79,0.11769104899305846,17.61757769424899
0.8,0.2316728580657141,18.767812897457937
0.81,0.3281380258571661,18.912670555404475
0.82,0.4287722823545899,19.064138796030072
0.83,0.5080406121998176,19.42300091394999
0.84,0.5332163838891413,19.586491659254307
0.85,0.6182932982864863,19.958010308376252
0.86,0.6412628929891768,20.487100138004113
0.87,0.6448042603538526,21.59191339168413
0.88,0.683025125054547,22.33962577093828
0.89,0.6857455437389798,21.658182985553164
0.9,0.6793683507517903,22.63801579797583
0.91,0.6549857318675477,23.171481697188508
0.92,0.6460563168748721,23.709118956989645
0.93,0.5925733403089621,23.391745429661125
0.94,0.5683557034593276,24.184992985560477
0.95,0.5391832534064894,24.771060200539466
0.96,0.5123579278301943,24.74709169860479
0.97,0.48875392882504737,25.8189318157088
0.98,0.45430376380729587,25.64577752798578
0.99,0.4254105511340965,26.640107454362848
1.0,0.39765097854417053,27.018935183248615
1.01,0.38229124819062216,27.92835564383663
1.02,0.34564689849961383,27.665688437622666
1.03,0.3601094404367583,28.95990625236507
1.04,0.35787626632038033,28.82448698368926
1.05,0.3293734293550488,29.23453199964819
1.06,0.3217203715419066,30.2313363695966
1.07,0.2957451092698071,29.49825529264216
1.08,0.28751835385977514,30.954111742991994
1.09,0.2774328492750686,31.596172361131252
1.1,0.26259512009752495,32.12330286911226
1.11,0.23201701023647195,32.287551067029824
1.12,0.22566248701318703,33.00939618783908
1.13,0.20639102660299105,32.68348976818385
1.14,0.1826460122588287,33.51606440340335
1.15,0.1710410048622002,33.659795583001284
1.16,0.12362455771507899,34.391788033966165
1.17,0.10622131963309442,35.082919874625674
1.18,0.10324393522105632,35.97128881663973
1.19,0.06261356936316356,36.34920018249135
1.2,0.05694090938957505,37.45570440682167
1.21,0.04296198040901816,37.952451795146956
1.22,0.019107631006539418,38.030283218203714
1.23,0.005534189969167486,38.91161305639077
1.24,-0.015349395252627417,38.81502194970745
1.25,-0.01762664774590874,39.76126826435239
1.26,-0.030542430086536787,39.91611901003675
1.27,-0.06963179994173384,39.816243006347136
1.28,-0.09818849740510807,40.17293937255814
1.29,-0.09759433780669322,40.11485987911194
1.3,-0.1368399889418717,40.08972124781248
1.31,-0.15355574392662455,40.458118861676994
1.32,-0.22180707514908865,40.80607078157303
1.33,-0.286970438684442,40.2110469474226
1.34,-0.3189905520052597,40.12815215312804
1.35,-0.35607767339478374,39.88977348426471
1.36,-0.428087288250714,39.596934816049625
1.37,-0.5185956020217031,40.00237998220212
1.38,-0.56087658617191,40.27175906078941
1.39,-0.6367479894210241,40.62409725722697
1.4,-0.676695261755627,39.39656015121175
1.41,-0.7301536191303024,41.315118697644344
1.42,-0.8023926733490147,40.587869432449665
1.43,-0.843640037397521,39.65213183526604
